Date,Time,Start Time (ISO),Matchup,game_id,market,market_class,side,lookup_side,sim_prob,fair_odds,market_prob,market_fv,consensus_prob,pricing_method,books_used,model_edge,market_odds,ev_percent,blended_prob,blended_fv,hours_to_game,stake,cumulative_stake,entry_type,segment,segment_label,best_book,date_simulated,result
,,,,2025-06-06-CHC@DET,spreads_1st_5_innings,derivative,CHC -0.5,CHC -0.5,0.428,172.85,0.31,225,0.366,devig,fanduel,0.118,225,19.11,0.366,172.85,2.1,1.06,,first,derivative,derivative,fanduel,2025-06-06,Loss
,,,,2025-06-06-HOU@CLE,totals_1st_5_innings,derivative,Under 5.5,Under 5.5,0.725,-247.68,0.599,-190,0.712,devig,pinnacle,0.145,-190,8.73,0.712,-247.68,2.5,2.08,,first,derivative,derivative,pinnacle,2025-06-06,Win
,,,,2025-06-06-KC@CWS,totals_1st_1_innings,derivative,Over 0.5,Over 0.5,0.537,-112.54,0.474,100,0.529,devig,espnbet,0.0842,100,5.9,0.529,-112.54,2.2,1.48,,first,derivative,derivative,espnbet,2025-06-06,Loss
,,,,2025-06-06-KC@CWS,spreads_1st_5_innings,derivative,CWS +1.5,CWS +1.5,0.754,-253.83,0.624,-200,0.717,devig,espnbet,0.132,-200,7.61,0.717,-253.83,2.5,1.9,,first,derivative,derivative,espnbet,2025-06-06,Win
,,,,2025-06-06-LAA@SEA,spreads_1st_5_innings,derivative,LAA +1.5,LAA +1.5,0.759,-279.6,0.629,-200,0.737,devig,espnbet,0.108,-200,10.49,0.737,-279.6,2.5,2.62,,first,derivative,derivative,espnbet,2025-06-06,Win
,,,,2025-06-06-LAA@SEA,spreads_1st_5_innings,derivative,SEA +2.5,SEA +2.5,0.915,-787.6,0.798,-525,0.887,devig,betmgm,0.128,-525,5.64,0.887,-787.6,2,3.7,,first,derivative,derivative,betmgm,2025-06-06,Win
,,,,2025-06-06-LAA@SEA,totals_1st_5_innings,derivative,Under 5.5,Under 5.5,0.71,-168.74,0.537,-119,0.628,devig,pinnacle,0.173,-119,15.55,0.628,-168.74,2.2,4.63,,first,derivative,derivative,pinnacle,2025-06-06,Win
,,,,2025-06-06-LAD@STL,spreads_1st_3_innings,derivative,STL +1.5,STL +1.5,0.838,-475.61,0.742,-350,0.826,devig,betmgm,0.116,-350,6.23,0.826,-475.61,2.2,2.73,,first,derivative,derivative,betmgm,2025-06-06,Win
,,,,2025-06-06-LAD@STL,spreads_1st_5_innings,derivative,LAD +0.5,LAD +0.5,0.739,-146.03,0.525,-120,0.594,devig,betonlineag,0.096,-120,8.81,0.594,-146.03,2.1,2.64,,first,derivative,derivative,betonlineag,2025-06-06,Loss
,,,,2025-06-06-NYM@COL,h2h,mainline,COL,COL,0.4,212.99,0.292,250,0.319,devig,betfair_ex_eu,0.108,250,11.82,0.319,212.99,3,1.18,,first,full_game,mainline,betfair_ex_eu,2025-06-06,Loss
,,,,2025-06-06-NYM@COL,spreads_1st_5_innings,derivative,COL +1.5,COL +1.5,0.721,-141.02,0.502,-113,0.585,devig,fanduel,0.083,-113,10.29,0.585,-141.02,2.8,2.91,,first,derivative,derivative,fanduel,2025-06-06,Win
,,,,2025-06-06-NYM@COL,totals_1st_5_innings,derivative,Under 4.5,Under 4.5,0.596,114.22,0.387,153,0.467,devig,pinnacle,0.129,153,18.1,0.467,114.22,2.6,1.48,,first,derivative,derivative,pinnacle,2025-06-06,Win
,,,,2025-06-06-PHI@PIT,totals_1st_7_innings,derivative,Under 5.5,Under 5.5,0.442,132.92,0.357,165,0.429,devig,draftkings,0.085,165,13.78,0.429,132.92,2.8,1.04,,first,derivative,derivative,draftkings,2025-06-06,Loss
,,,,2025-06-06-PHI@PIT,totals_1st_5_innings,derivative,Under 4.5,Under 4.5,0.535,102.89,0.424,115,0.493,devig,betonlineag,0.11,115,5.97,0.493,102.89,2.3,1.3,,first,derivative,derivative,betonlineag,2025-06-06,Loss
,,,,2025-06-06-SD@MIL,spreads_1st_5_innings,derivative,SD +1.5,SD +1.5,0.736,-223.92,0.618,-170,0.691,devig,espnbet,0.117,-170,9.79,0.691,-223.92,2.4,2.08,,first,derivative,derivative,espnbet,2025-06-06,Win
,,,,2025-06-06-TEX@WSH,spreads_1st_7_innings,derivative,WSH +0.5,WSH +0.5,0.722,-163.02,0.519,-122,0.62,devig,fanduel,0.103,-122,12.78,0.62,-163.02,3,3.9,,first,derivative,derivative,fanduel,2025-06-06,Win
,,,,2025-06-07-ARI@CIN,spreads,mainline,ARI -1.5,ARI -1.5,0.4272,134.08,0.4025,,0.402459,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings",0.0247,195,19.64,0.4056,146.57,6,2.52,,first,full_game,mainline,williamhill_us,2025-06-07 10:10,Loss
,,,,2025-06-07-ATL@SF,h2h,mainline,ATL,ATL,0.4951,101.98,0.4065,,0.406473,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.0886,155,8.81,0.4267,134.34,7.27,1.42,,first,full_game,mainline,williamhill,2025-06-07 8:49,Loss
,,,,2025-06-07-ATL@SF,team_totals,mainline,ATL Over 3.5,ATL Over 3.5,0.6242,-166.1,0.4415,,0.441537,devig,"pinnacle, betonlineag, fanduel, draftkings",0.1827,124,10.59,0.4937,102.55,7.27,2.14,,first,full_game,team_total,pinnacle,2025-06-07 8:49,Loss
,,,,2025-06-07-BAL@OAK,totals_1st_5_innings,mainline,Under 5.5,Under 5.5,0.6902,-222.79,0.4882,,0.488213,devig,"pinnacle, betonlineag, fanduel, betmgm, mybookieag",0.202,101,7.12,0.5329,-114.09,6.32,1.76,,first,derivative,derivative,pinnacle,2025-06-07 15:46,Loss
,,,,2025-06-07-BOS@NYY,spreads_1st_5_innings,alternate,NYY +1.5,NYY +1.5,0.8269,-477.7,0.6797,,0.679702,devig,"fanduel, betmgm, draftkings",0.1472,-250,11.03,0.7931,-383.23,10.67,3.45,,first,derivative,derivative,espnbet,2025-06-07 8:54,Loss
,,,,2025-06-07-HOU@CLE,team_totals,mainline,CLE Over 3.5,CLE Over 3.5,0.5849,-140.91,0.4553,,0.455261,devig,"pinnacle, betonlineag, fanduel, draftkings",0.1296,116,7.76,0.4989,100.44,7.69,1.67,,first,full_game,team_total,pinnacle,2025-06-07 8:29,Loss
,,,,2025-06-07-KC@CWS,h2h,mainline,CWS,CWS,0.5271,-111.46,0.4354,,0.435377,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.0917,133,5.99,0.4549,119.84,7.1,1.13,,first,full_game,mainline,pinnacle,2025-06-07 9:05,Win
,,,,2025-06-07-KC@CWS,team_totals,mainline,CWS Over 3.5,CWS Over 3.5,0.6199,-163.09,0.4948,,0.494802,devig,"pinnacle, betonlineag, fanduel, draftkings",0.1251,101,6.14,0.528,-111.88,7.1,1.52,,first,full_game,team_total,pinnacle,2025-06-07 9:05,Win
,,,,2025-06-07-MIA@TB,totals_1st_1_innings,mainline,Under 0.5,Under 0.5,0.5077,-103.13,0.5274,,0.527399,devig,"pinnacle, betonlineag, fanduel, betmgm",-0.0197,105,8.1,0.5273,-111.56,0.04,1.93,,first,derivative,derivative,bovada,2025-06-07 16:22,Win
,,,,2025-06-07-PHI@PIT,h2h,mainline,PIT,PIT,0.474,110.97,0.3987,,0.398697,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.0753,155,6.49,0.4176,139.46,7.51,1.05,,first,full_game,mainline,williamhill,2025-06-07 8:34,Win
,,,,2025-06-07-PHI@PIT,spreads_1st_5_innings,alternate,PIT +1.5,PIT +1.5,0.7625,-321.05,0.623,,0.623018,devig,"fanduel, betmgm, draftkings",0.1395,-180,5.09,0.6756,-208.22,7.51,1.14,,first,derivative,derivative,espnbet,2025-06-07 8:34,Win
,,,,2025-06-07-PHI@PIT,team_totals,mainline,PIT Over 3.5,PIT Over 3.5,0.5853,-141.14,0.466,,0.465983,devig,"pinnacle, betonlineag, fanduel, draftkings",0.1193,114,7.74,0.5034,-101.38,7.51,1.7,,first,full_game,team_total,betrivers,2025-06-07 8:34,Loss
,,,,2025-06-07-SD@MIL,team_totals,mainline,SD Over 4.5,SD Over 4.5,0.5258,-110.88,0.4449,,0.444882,devig,"pinnacle, betonlineag",0.0809,120,6.34,0.4834,106.88,8.83,1.32,,first,full_game,team_total,hardrockbet,2025-06-07 10:46,Loss
,,,,2025-06-07-SD@MIL,totals_1st_5_innings,alternate,Under 5.5,Under 5.5,0.7164,-252.61,0.6077,,0.607701,devig,"pinnacle, fanduel, betmgm, draftkings",0.1087,-158,6.26,0.6508,-186.35,7.64,1.24,,first,derivative,derivative,pinnacle,2025-06-07 11:57,Win
,,,,2025-06-07-SEA@LAA,spreads_1st_7_innings,alternate,LAA +1.5,LAA +1.5,0.7259,-264.83,0.573,,0.573036,devig,"betmgm, draftkings",0.1529,-150,16.26,0.6976,-230.64,11.38,3.05,,first,derivative,derivative,fanatics,2025-06-07 10:16,Win
